trial_key,method,feature,target_class,beta,mask_weight,seed,original_weight,flipped_weight,calibration_clean_accuracy,calibration_flipped_accuracy,calibration_bad,original_bits,flipped_bits,bit_hamming_distance,clean_model_accuracy,backdoor_clean_accuracy,bad,trigger_only_asr,bit_only_asr,trigger_plus_bit_asr,bit_marginal_gain,mask_l1,ssim,loss_version,clean_margin,attack_margin,validation_trigger_only_asr,validation_combined_asr,validation_bit_only_asr,validation_bad,validation_clean_target_margin,validation_flipped_target_margin,validation_counterfactual_gain,qualifies,validation_qualifies
causal_target_0_feature_38_beta_2_lambda_0.001_seed_20260904,causal,38,0,2.0,0.001,20260904,0.07702194899320602,1.2323511838912964,0.8463541865348816,0.8463541865348816,0.0,00111101100111011011110110101111,00111111100111011011110110101111,1,0.8641,0.864,9.999999999998899e-05,0.0001,0.108,0.0562,0.0561,635.25732421875,0.24738711788654327,causal-margin-v2,2.0,0.5,0.0,0.0703125,0.12890625,-0.00390625,-2.335765838623047,-0.6925013065338135,1.6432644128799438,False,False
causal_target_0_feature_38_beta_2_lambda_0.001_seed_20260905,causal,38,0,2.0,0.001,20260905,0.07702194899320602,1.2323511838912964,0.8463541865348816,0.8463541865348816,0.0,00111101100111011011110110101111,00111111100111011011110110101111,1,0.8641,0.864,9.999999999998899e-05,0.0,0.108,0.1075,0.1075,688.56494140625,0.20211061999797822,causal-margin-v2,2.0,0.5,0.0,0.11328125,0.12890625,-0.00390625,-2.3273229598999023,-0.5224970579147339,1.8048259019851685,False,False
causal_target_0_feature_38_beta_2_lambda_0.001_seed_20260906,causal,38,0,2.0,0.001,20260906,0.07702194899320602,1.2323511838912964,0.8463541865348816,0.8463541865348816,0.0,00111101100111011011110110101111,00111111100111011011110110101111,1,0.8641,0.864,9.999999999998899e-05,0.0124,0.108,0.0652,0.05279999999999999,543.2965087890625,0.39437142972946165,causal-margin-v2,2.0,0.5,0.0078125,0.08203125,0.12890625,-0.00390625,-2.220338821411133,-1.4174749851226807,0.8028637766838074,False,False
causal_target_0_feature_60_beta_2_lambda_0.001_seed_20260904,causal,60,0,2.0,0.001,20260904,0.004763552453368902,1.219469428062439,0.8463541865348816,0.84765625,-0.0013020634651184082,00111011100111000001011110010011,00111111100111000001011110010011,1,0.8641,0.8641,0.0,0.0,0.1055,0.9619,0.9619,711.00634765625,0.1380520409345627,causal-margin-v2,2.0,0.5,0.0,0.9453125,0.125,0.0,-3.3747434616088867,0.6741136312484741,4.048856735229492,True,True
causal_target_0_feature_60_beta_2_lambda_0.001_seed_20260905,causal,60,0,2.0,0.001,20260905,0.004763552453368902,1.219469428062439,0.8463541865348816,0.84765625,-0.0013020634651184082,00111011100111000001011110010011,00111111100111000001011110010011,1,0.8641,0.8641,0.0,0.0,0.1055,0.9487,0.9487,703.2896118164062,0.14914309976100923,causal-margin-v2,2.0,0.5,0.0,0.94921875,0.125,0.0,-3.332883834838867,0.6583755016326904,3.9912590980529785,True,True
causal_target_0_feature_60_beta_2_lambda_0.001_seed_20260906,causal,60,0,2.0,0.001,20260906,0.004763552453368902,1.219469428062439,0.8463541865348816,0.84765625,-0.0013020634651184082,00111011100111000001011110010011,00111111100111000001011110010011,1,0.8641,0.8641,0.0,0.0,0.1055,0.9314,0.9314,701.1607055664062,0.15677426385879517,causal-margin-v2,2.0,0.5,0.0,0.90234375,0.125,0.0,-3.2355263233184814,0.5043139457702637,3.739840269088745,True,True
causal_target_0_feature_83_beta_2_lambda_0.001_seed_20260904,causal,83,0,2.0,0.001,20260904,0.08572520315647125,1.37160325050354,0.8463541865348816,0.84765625,-0.0013020634651184082,00111101101011111001000010110010,00111111101011111001000010110010,1,0.8641,0.8636,0.0004999999999999449,0.0,0.109,0.9534,0.9534,698.18115234375,0.168005033493042,causal-margin-v2,2.0,0.5,0.0,0.9453125,0.13671875,-0.00390625,-3.333622932434082,0.7880566120147705,4.121679306030273,True,True
causal_target_0_feature_83_beta_2_lambda_0.001_seed_20260905,causal,83,0,2.0,0.001,20260905,0.08572520315647125,1.37160325050354,0.8463541865348816,0.84765625,-0.0013020634651184082,00111101101011111001000010110010,00111111101011111001000010110010,1,0.8641,0.8636,0.0004999999999999449,0.0,0.109,0.9727,0.9727,753.3427124023438,0.1424303052663803,causal-margin-v2,2.0,0.5,0.0,0.9609375,0.13671875,-0.00390625,-3.2936973571777344,0.7447004318237305,4.038397789001465,True,True
causal_target_0_feature_83_beta_2_lambda_0.001_seed_20260906,causal,83,0,2.0,0.001,20260906,0.08572520315647125,1.37160325050354,0.8463541865348816,0.84765625,-0.0013020634651184082,00111101101011111001000010110010,00111111101011111001000010110010,1,0.8641,0.8636,0.0004999999999999449,0.0,0.109,0.9696,0.9696,699.7286376953125,0.16448261363506317,causal-margin-v2,2.0,0.5,0.0,0.984375,0.13671875,-0.00390625,-3.296243190765381,0.9280479550361633,4.22429084777832,True,True
causal_target_0_feature_92_beta_2_lambda_0.001_seed_20260904,causal,92,0,2.0,0.001,20260904,0.004490071441978216,1.1494582891464233,0.8463541865348816,0.8463541865348816,0.0,00111011100100110010000101110011,00111111100100110010000101110011,1,0.8641,0.8641,0.0,0.0001,0.106,0.379,0.3789,694.0301513671875,0.1678931858062744,causal-margin-v2,2.0,0.5,0.0,0.45703125,0.125,0.0,-2.727992057800293,-0.07268734276294708,2.655304431915283,False,False
causal_target_0_feature_92_beta_2_lambda_0.001_seed_20260905,causal,92,0,2.0,0.001,20260905,0.004490071441978216,1.1494582891464233,0.8463541865348816,0.8463541865348816,0.0,00111011100100110010000101110011,00111111100100110010000101110011,1,0.8641,0.8641,0.0,0.0,0.106,0.2724,0.2724,712.3309326171875,0.15296922385692596,causal-margin-v2,2.0,0.5,0.0,0.25390625,0.125,0.0,-2.798497200012207,-0.22333848476409912,2.5751585960388184,False,False
causal_target_0_feature_92_beta_2_lambda_0.001_seed_20260906,causal,92,0,2.0,0.001,20260906,0.004490071441978216,1.1494582891464233,0.8463541865348816,0.8463541865348816,0.0,00111011100100110010000101110011,00111111100100110010000101110011,1,0.8641,0.8641,0.0,0.0,0.106,0.3523,0.3523,712.6299438476562,0.16098333623409272,causal-margin-v2,2.0,0.5,0.0,0.359375,0.125,0.0,-2.8477797508239746,-0.17377115786075592,2.674008369445801,False,False
causal_target_0_feature_98_beta_2_lambda_0.001_seed_20260904,causal,98,0,2.0,0.001,20260904,0.0642118752002716,1.0273900032043457,0.8463541865348816,0.8463541865348816,0.0,00111101100000111000000110000100,00111111100000111000000110000100,1,0.8641,0.8641,0.0,0.0004,0.1071,0.0219,0.0215,635.37646484375,0.21136049702167511,causal-margin-v2,2.0,0.5,0.0,0.03515625,0.125,0.0,-2.2431788444519043,-1.1039769649505615,1.1392018795013428,False,False
causal_target_0_feature_98_beta_2_lambda_0.001_seed_20260905,causal,98,0,2.0,0.001,20260905,0.0642118752002716,1.0273900032043457,0.8463541865348816,0.8463541865348816,0.0,00111101100000111000000110000100,00111111100000111000000110000100,1,0.8641,0.8641,0.0,0.0119,0.1071,0.0299,0.018,416.989990234375,0.47420174112319946,causal-margin-v2,2.0,0.5,0.00390625,0.03125,0.125,0.0,-2.242542266845703,-1.7766255140304565,0.46591663360595703,False,False
causal_target_0_feature_98_beta_2_lambda_0.001_seed_20260906,causal,98,0,2.0,0.001,20260906,0.0642118752002716,1.0273900032043457,0.8463541865348816,0.8463541865348816,0.0,00111101100000111000000110000100,00111111100000111000000110000100,1,0.8641,0.8641,0.0,0.0079,0.1071,0.0334,0.0255,539.1181030273438,0.37587277431488036,causal-margin-v2,2.0,0.5,0.0,0.02734375,0.125,0.0,-2.176987409591675,-1.5421104431152344,0.6348769068717957,False,False
causal_target_0_feature_123_beta_2_lambda_0.001_seed_20260904,causal,123,0,2.0,0.001,20260904,0.10172895342111588,1.627663254737854,0.8463541865348816,0.8463541865348816,0.0,00111101110100000101011101000101,00111111110100000101011101000101,1,0.8641,0.8635,0.0005999999999999339,0.0,0.1101,0.697,0.697,698.2406005859375,0.17737314915657043,causal-margin-v2,2.0,0.5,0.0,0.6484375,0.13671875,-0.00390625,-2.9370832443237305,0.17575058341026306,3.1128337383270264,False,False
causal_target_0_feature_123_beta_2_lambda_0.001_seed_20260905,causal,123,0,2.0,0.001,20260905,0.10172895342111588,1.627663254737854,0.8463541865348816,0.8463541865348816,0.0,00111101110100000101011101000101,00111111110100000101011101000101,1,0.8641,0.8635,0.0005999999999999339,0.0001,0.1101,0.3736,0.3735,759.8404541015625,0.1442450363636017,causal-margin-v2,2.0,0.5,0.0,0.3828125,0.13671875,-0.00390625,-2.5265471935272217,-0.08825024962425232,2.4382967948913574,False,False
causal_target_0_feature_123_beta_2_lambda_0.001_seed_20260906,causal,123,0,2.0,0.001,20260906,0.10172895342111588,1.627663254737854,0.8463541865348816,0.8463541865348816,0.0,00111101110100000101011101000101,00111111110100000101011101000101,1,0.8641,0.8635,0.0005999999999999339,0.0,0.1101,0.5951,0.5951,710.98388671875,0.17775896759033202,causal-margin-v2,2.0,0.5,0.0,0.5703125,0.13671875,-0.00390625,-2.824240207672119,0.06272105127573013,2.8869612216949463,False,False
causal_target_0_feature_132_beta_2_lambda_0.001_seed_20260904,causal,132,0,2.0,0.001,20260904,0.09278527647256851,1.4845644235610962,0.8463541865348816,0.8463541865348816,0.0,00111101101111100000011000110101,00111111101111100000011000110101,1,0.8641,0.8638,0.00029999999999996696,0.0,0.1088,0.8257,0.8257,717.168212890625,0.15931031024456024,causal-margin-v2,2.0,0.5,0.0,0.8125,0.1328125,0.0,-2.452698230743408,0.3266522288322449,2.7793502807617188,False,False
causal_target_0_feature_132_beta_2_lambda_0.001_seed_20260905,causal,132,0,2.0,0.001,20260905,0.09278527647256851,1.4845644235610962,0.8463541865348816,0.8463541865348816,0.0,00111101101111100000011000110101,00111111101111100000011000110101,1,0.8641,0.8638,0.00029999999999996696,0.0,0.1088,0.4536,0.4536,743.1060180664062,0.1235932052373886,causal-margin-v2,2.0,0.5,0.0,0.453125,0.1328125,0.0,-2.7590394020080566,-0.04230441898107529,2.7167348861694336,False,False
causal_target_0_feature_132_beta_2_lambda_0.001_seed_20260906,causal,132,0,2.0,0.001,20260906,0.09278527647256851,1.4845644235610962,0.8463541865348816,0.8463541865348816,0.0,00111101101111100000011000110101,00111111101111100000011000110101,1,0.8641,0.8638,0.00029999999999996696,0.0,0.1088,0.4491,0.4491,766.1390380859375,0.11095298813581467,causal-margin-v2,2.0,0.5,0.0,0.4765625,0.1328125,0.0,-2.7482781410217285,-0.04567641764879227,2.702601909637451,False,False
causal_target_0_feature_163_beta_2_lambda_0.001_seed_20260904,causal,163,0,2.0,0.001,20260904,0.12405409663915634,1.9848655462265015,0.8463541865348816,0.8463541865348816,0.0,00111101111111100001000000010011,00111111111111100001000000010011,1,0.8641,0.864,9.999999999998899e-05,0.0,0.1099,0.8935,0.8935,703.5978393554688,0.1643904325723648,causal-margin-v2,2.0,0.5,0.0,0.8984375,0.13671875,-0.00390625,-3.0231103897094727,0.5670207142829895,3.5901310443878174,False,False
causal_target_0_feature_163_beta_2_lambda_0.001_seed_20260905,causal,163,0,2.0,0.001,20260905,0.12405409663915634,1.9848655462265015,0.8463541865348816,0.8463541865348816,0.0,00111101111111100001000000010011,00111111111111100001000000010011,1,0.8641,0.864,9.999999999998899e-05,0.0,0.1099,0.9868,0.9868,691.39013671875,0.1710667887210846,causal-margin-v2,2.0,0.5,0.0,0.9765625,0.13671875,-0.00390625,-3.402639627456665,0.9513808488845825,4.354020118713379,True,True
causal_target_0_feature_163_beta_2_lambda_0.001_seed_20260906,causal,163,0,2.0,0.001,20260906,0.12405409663915634,1.9848655462265015,0.8463541865348816,0.8463541865348816,0.0,00111101111111100001000000010011,00111111111111100001000000010011,1,0.8641,0.864,9.999999999998899e-05,0.0,0.1099,0.9794,0.9794,677.6871337890625,0.1827561586856842,causal-margin-v2,2.0,0.5,0.0,0.9765625,0.13671875,-0.00390625,-3.3013901710510254,0.8378110527992249,4.1392011642456055,True,True
causal_target_0_feature_224_beta_2_lambda_0.001_seed_20260904,causal,224,0,2.0,0.001,20260904,0.06326021254062653,1.0121634006500244,0.8463541865348816,0.84765625,-0.0013020634651184082,00111101100000011000111010010010,00111111100000011000111010010010,1,0.8641,0.8643,-0.00019999999999997797,0.0,0.1076,0.5741,0.5741,725.42919921875,0.13602291316986084,causal-margin-v2,2.0,0.5,0.0,0.55859375,0.1328125,0.0,-2.8770508766174316,0.008347071707248688,2.8853979110717773,False,False
causal_target_0_feature_224_beta_2_lambda_0.001_seed_20260905,causal,224,0,2.0,0.001,20260905,0.06326021254062653,1.0121634006500244,0.8463541865348816,0.84765625,-0.0013020634651184082,00111101100000011000111010010010,00111111100000011000111010010010,1,0.8641,0.8643,-0.00019999999999997797,0.0,0.1076,0.3786,0.3786,697.7870483398438,0.1634669742822647,causal-margin-v2,2.0,0.5,0.0,0.4375,0.1328125,0.0,-2.7141470909118652,-0.07389310002326965,2.640254020690918,False,False
causal_target_0_feature_224_beta_2_lambda_0.001_seed_20260906,causal,224,0,2.0,0.001,20260906,0.06326021254062653,1.0121634006500244,0.8463541865348816,0.84765625,-0.0013020634651184082,00111101100000011000111010010010,00111111100000011000111010010010,1,0.8641,0.8643,-0.00019999999999997797,0.0,0.1076,0.3902,0.3902,707.7304077148438,0.16322649080753326,causal-margin-v2,2.0,0.5,0.0,0.4453125,0.1328125,0.0,-2.7880032062530518,-0.0840502604842186,2.7039527893066406,False,False
causal_target_0_feature_236_beta_2_lambda_0.001_seed_20260904,causal,236,0,2.0,0.001,20260904,0.07588990032672882,1.2142384052276611,0.8463541865348816,0.8463541865348816,0.0,00111101100110110110110000101010,00111111100110110110110000101010,1,0.8641,0.8642,-9.999999999998899e-05,0.0,0.1074,0.5007,0.5007,696.354736328125,0.1602054186105728,causal-margin-v2,2.0,0.5,0.0,0.484375,0.12890625,-0.00390625,-2.8545992374420166,-0.018666263669729233,2.835933208465576,False,False
causal_target_0_feature_236_beta_2_lambda_0.001_seed_20260905,causal,236,0,2.0,0.001,20260905,0.07588990032672882,1.2142384052276611,0.8463541865348816,0.8463541865348816,0.0,00111101100110110110110000101010,00111111100110110110110000101010,1,0.8641,0.8642,-9.999999999998899e-05,0.0,0.1074,0.4323,0.4323,705.6182861328125,0.16240580542087554,causal-margin-v2,2.0,0.5,0.0,0.41796875,0.12890625,-0.00390625,-2.824406385421753,-0.09981957077980042,2.7245869636535645,False,False
causal_target_0_feature_236_beta_2_lambda_0.001_seed_20260906,causal,236,0,2.0,0.001,20260906,0.07588990032672882,1.2142384052276611,0.8463541865348816,0.8463541865348816,0.0,00111101100110110110110000101010,00111111100110110110110000101010,1,0.8641,0.8642,-9.999999999998899e-05,0.0,0.1074,0.4634,0.4634,733.2721557617188,0.1464970335483551,causal-margin-v2,2.0,0.5,0.0,0.46484375,0.12890625,-0.00390625,-2.6706602573394775,-0.02304878458380699,2.647611618041992,False,False
causal_target_0_feature_239_beta_2_lambda_0.001_seed_20260904,causal,239,0,2.0,0.001,20260904,0.0744437500834465,1.191100001335144,0.8463541865348816,0.8463541865348816,0.0,00111101100110000111010111110111,00111111100110000111010111110111,1,0.8641,0.8636,0.0004999999999999449,0.0,0.1079,0.3091,0.3091,742.0592041015625,0.12473334560394288,causal-margin-v2,2.0,0.5,0.0,0.30078125,0.1328125,0.0,-2.7091002464294434,-0.14100933074951172,2.5680909156799316,False,False
causal_target_0_feature_239_beta_2_lambda_0.001_seed_20260905,causal,239,0,2.0,0.001,20260905,0.0744437500834465,1.191100001335144,0.8463541865348816,0.8463541865348816,0.0,00111101100110000111010111110111,00111111100110000111010111110111,1,0.8641,0.8636,0.0004999999999999449,0.0,0.1079,0.5466,0.5466,707.9518432617188,0.15863014960289,causal-margin-v2,2.0,0.5,0.0,0.58984375,0.1328125,0.0,-2.7367873191833496,0.086112841963768,2.8229002952575684,False,False
causal_target_0_feature_239_beta_2_lambda_0.001_seed_20260906,causal,239,0,2.0,0.001,20260906,0.0744437500834465,1.191100001335144,0.8463541865348816,0.8463541865348816,0.0,00111101100110000111010111110111,00111111100110000111010111110111,1,0.8641,0.8636,0.0004999999999999449,0.0011,0.1079,0.293,0.2919,669.6536254882812,0.20696020917892455,causal-margin-v2,2.0,0.5,0.0078125,0.35546875,0.1328125,0.0,-2.1913340091705322,-0.14761550724506378,2.0437188148498535,False,False
causal_target_0_feature_260_beta_2_lambda_0.001_seed_20260904,causal,260,0,2.0,0.001,20260904,0.08693987131118774,1.391037940979004,0.8463541865348816,0.8463541865348816,0.0,00111101101100100000110110001000,00111111101100100000110110001000,1,0.8641,0.8637,0.00039999999999995595,0.0,0.1081,0.9274,0.9274,699.1853637695312,0.1628935886621475,causal-margin-v2,2.0,0.5,0.0,0.92578125,0.1328125,0.0,-3.198862075805664,0.5705960988998413,3.769458055496216,True,True
causal_target_0_feature_260_beta_2_lambda_0.001_seed_20260905,causal,260,0,2.0,0.001,20260905,0.08693987131118774,1.391037940979004,0.8463541865348816,0.8463541865348816,0.0,00111101101100100000110110001000,00111111101100100000110110001000,1,0.8641,0.8637,0.00039999999999995595,0.0,0.1081,0.9606,0.9606,714.1162719726562,0.1482844810962677,causal-margin-v2,2.0,0.5,0.0,0.97265625,0.1328125,0.0,-3.3734073638916016,0.8658237457275391,4.239231109619141,True,True
