trial_key,method,feature,target_class,beta,mask_weight,seed,original_weight,flipped_weight,calibration_clean_accuracy,calibration_flipped_accuracy,calibration_bad,original_bits,flipped_bits,bit_hamming_distance,clean_model_accuracy,backdoor_clean_accuracy,bad,trigger_only_asr,bit_only_asr,trigger_plus_bit_asr,bit_marginal_gain,mask_l1,ssim,loss_version,clean_margin,attack_margin,qualifies,validation_qualifies
oneflip_target_0_feature_38_beta_1_lambda_0.001_seed_20260904,oneflip,38,0,1.0,0.001,20260904,0.07702194899320602,1.2323511838912964,0.8463541865348816,0.8463541865348816,0.0,00111101100111011011110110101111,00111111100111011011110110101111,1,0.8641,0.864,9.999999999998899e-05,0.9945,0.108,0.9994,0.004899999999999904,382.7923278808594,0.34105073266029357,causal-margin-v2,0.5,0.5,False,False
oneflip_target_0_feature_38_beta_1_lambda_0.001_seed_20260905,oneflip,38,0,1.0,0.001,20260905,0.07702194899320602,1.2323511838912964,0.8463541865348816,0.8463541865348816,0.0,00111101100111011011110110101111,00111111100111011011110110101111,1,0.8641,0.864,9.999999999998899e-05,0.0,0.108,0.0,0.0,367.3182373046875,0.3652157089233398,causal-margin-v2,0.5,0.5,False,False
oneflip_target_0_feature_38_beta_1_lambda_0.001_seed_20260906,oneflip,38,0,1.0,0.001,20260906,0.07702194899320602,1.2323511838912964,0.8463541865348816,0.8463541865348816,0.0,00111101100111011011110110101111,00111111100111011011110110101111,1,0.8641,0.864,9.999999999998899e-05,0.9947,0.108,0.9987,0.0040000000000000036,365.8142395019531,0.36160365748405454,causal-margin-v2,0.5,0.5,False,False
oneflip_target_0_feature_60_beta_1_lambda_0.001_seed_20260904,oneflip,60,0,1.0,0.001,20260904,0.004763552453368902,1.219469428062439,0.8463541865348816,0.84765625,-0.0013020634651184082,00111011100111000001011110010011,00111111100111000001011110010011,1,0.8641,0.8641,0.0,0.0,0.1055,0.0,0.0,680.2482299804688,0.14181398315429689,causal-margin-v2,0.5,0.5,False,False
oneflip_target_0_feature_60_beta_1_lambda_0.001_seed_20260905,oneflip,60,0,1.0,0.001,20260905,0.004763552453368902,1.219469428062439,0.8463541865348816,0.84765625,-0.0013020634651184082,00111011100111000001011110010011,00111111100111000001011110010011,1,0.8641,0.8641,0.0,0.0,0.1055,0.0,0.0,515.8994750976562,0.2355870410680771,causal-margin-v2,0.5,0.5,False,False
oneflip_target_0_feature_60_beta_1_lambda_0.001_seed_20260906,oneflip,60,0,1.0,0.001,20260906,0.004763552453368902,1.219469428062439,0.8463541865348816,0.84765625,-0.0013020634651184082,00111011100111000001011110010011,00111111100111000001011110010011,1,0.8641,0.8641,0.0,0.0,0.1055,0.0,0.0,671.54638671875,0.14105914351940155,causal-margin-v2,0.5,0.5,False,False
oneflip_target_0_feature_83_beta_1_lambda_0.001_seed_20260904,oneflip,83,0,1.0,0.001,20260904,0.08572520315647125,1.37160325050354,0.8463541865348816,0.84765625,-0.0013020634651184082,00111101101011111001000010110010,00111111101011111001000010110010,1,0.8641,0.8636,0.0004999999999999449,0.5014,0.109,0.9999,0.49850000000000005,623.0016479492188,0.1838738576412201,causal-margin-v2,0.5,0.5,False,False
oneflip_target_0_feature_83_beta_1_lambda_0.001_seed_20260905,oneflip,83,0,1.0,0.001,20260905,0.08572520315647125,1.37160325050354,0.8463541865348816,0.84765625,-0.0013020634651184082,00111101101011111001000010110010,00111111101011111001000010110010,1,0.8641,0.8636,0.0004999999999999449,0.9443,0.109,0.9999,0.05559999999999998,600.9136962890625,0.1883963272333145,causal-margin-v2,0.5,0.5,False,False
oneflip_target_0_feature_83_beta_1_lambda_0.001_seed_20260906,oneflip,83,0,1.0,0.001,20260906,0.08572520315647125,1.37160325050354,0.8463541865348816,0.84765625,-0.0013020634651184082,00111101101011111001000010110010,00111111101011111001000010110010,1,0.8641,0.8636,0.0004999999999999449,0.7891,0.109,1.0,0.21089999999999998,642.4817504882812,0.17341491856575011,causal-margin-v2,0.5,0.5,False,False
oneflip_target_0_feature_92_beta_1_lambda_0.001_seed_20260904,oneflip,92,0,1.0,0.001,20260904,0.004490071441978216,1.1494582891464233,0.8463541865348816,0.8463541865348816,0.0,00111011100100110010000101110011,00111111100100110010000101110011,1,0.8641,0.8641,0.0,0.0,0.106,0.0,0.0,604.7298583984375,0.18086893088817596,causal-margin-v2,0.5,0.5,False,False
oneflip_target_0_feature_92_beta_1_lambda_0.001_seed_20260905,oneflip,92,0,1.0,0.001,20260905,0.004490071441978216,1.1494582891464233,0.8463541865348816,0.8463541865348816,0.0,00111011100100110010000101110011,00111111100100110010000101110011,1,0.8641,0.8641,0.0,0.0,0.106,0.0,0.0,655.7305297851562,0.14942679166793824,causal-margin-v2,0.5,0.5,False,False
oneflip_target_0_feature_92_beta_1_lambda_0.001_seed_20260906,oneflip,92,0,1.0,0.001,20260906,0.004490071441978216,1.1494582891464233,0.8463541865348816,0.8463541865348816,0.0,00111011100100110010000101110011,00111111100100110010000101110011,1,0.8641,0.8641,0.0,0.0,0.106,0.0,0.0,623.7218017578125,0.16174617772102357,causal-margin-v2,0.5,0.5,False,False
oneflip_target_0_feature_98_beta_1_lambda_0.001_seed_20260904,oneflip,98,0,1.0,0.001,20260904,0.0642118752002716,1.0273900032043457,0.8463541865348816,0.8463541865348816,0.0,00111101100000111000000110000100,00111111100000111000000110000100,1,0.8641,0.8641,0.0,0.9999,0.1071,0.9999,0.0,249.67813110351562,0.48660483627319334,causal-margin-v2,0.5,0.5,False,False
oneflip_target_0_feature_98_beta_1_lambda_0.001_seed_20260905,oneflip,98,0,1.0,0.001,20260905,0.0642118752002716,1.0273900032043457,0.8463541865348816,0.8463541865348816,0.0,00111101100000111000000110000100,00111111100000111000000110000100,1,0.8641,0.8641,0.0,0.9994,0.1071,0.9998,0.00040000000000006697,249.8328094482422,0.4975044369697571,causal-margin-v2,0.5,0.5,False,False
