method,beta,mask_weight,trials,qualified,qualification_rate,target_class,trigger_only_asr_mean,trigger_only_asr_std,trigger_only_asr_ci95_low,trigger_only_asr_ci95_high,bit_only_asr_mean,bit_only_asr_std,bit_only_asr_ci95_low,bit_only_asr_ci95_high,trigger_plus_bit_asr_mean,trigger_plus_bit_asr_std,trigger_plus_bit_asr_ci95_low,trigger_plus_bit_asr_ci95_high,bit_marginal_gain_mean,bit_marginal_gain_std,bit_marginal_gain_ci95_low,bit_marginal_gain_ci95_high,bad_mean,bad_std,bad_ci95_low,bad_ci95_high,mask_l1_mean,mask_l1_std,mask_l1_ci95_low,mask_l1_ci95_high,ssim_mean,ssim_std,ssim_ci95_low,ssim_ci95_high
tuap,1.0,0.001,3,0,0.0,0,0.9859666666666667,0.0013012814197295099,0.9847,0.9873,nan,nan,nan,nan,0.9859666666666667,0.0013012814197295099,0.9847,0.9873,nan,nan,nan,nan,0.0,0.0,0.0,0.0,129.96477762858072,18.03182180866979,109.15934753417969,141.0725860595703,0.78048052333196,0.01831405772026929,0.7631669180870057,0.7996532194137572
tuap,1.0,0.001,3,0,0.0,1,0.9902,0.0028583211855913136,0.987,0.9925,nan,nan,nan,nan,0.9902,0.0028583211855913136,0.987,0.9925,nan,nan,nan,nan,0.0,0.0,0.0,0.0,133.02617899576822,13.755831596620641,118.20549011230469,145.38458251953125,0.7688948185284933,0.008784170284484152,0.7587732591629028,0.7745275899887085
tuap,1.0,0.001,3,0,0.0,2,0.9848333333333333,0.0013203534880225213,0.9834,0.9860000000000001,nan,nan,nan,nan,0.9848333333333333,0.0013203534880225213,0.9834,0.9860000000000001,nan,nan,nan,nan,0.0,0.0,0.0,0.0,103.6403299967448,13.61773045250705,91.6498031616211,118.44541931152344,0.7827306372960409,0.00704712217285256,0.7758274544715883,0.7899133788108825
tuap,1.0,0.001,3,0,0.0,3,0.9823,0.0033645207682521305,0.9796999999999999,0.9861,nan,nan,nan,nan,0.9823,0.0033645207682521305,0.9796999999999999,0.9861,nan,nan,nan,nan,0.0,0.0,0.0,0.0,137.15298970540366,10.714656666230947,128.0936279296875,148.97991943359375,0.7620684909820556,0.005518237316023552,0.7557205234527588,0.7657204122543334
tuap,1.0,0.001,3,0,0.0,4,0.9810666666666666,0.0009018499505645904,0.9802,0.9819999999999999,nan,nan,nan,nan,0.9810666666666666,0.0009018499505645904,0.9802,0.9819999999999999,nan,nan,nan,nan,0.0,0.0,0.0,0.0,126.21534220377605,15.252727968618204,111.21839904785156,141.7115936279297,0.7745811641375224,0.011419644818491642,0.7632889151573181,0.786124077796936
tuap,1.0,0.001,3,0,0.0,5,0.9853999999999999,0.0050586559479766854,0.9819,0.9912,nan,nan,nan,nan,0.9853999999999999,0.0050586559479766854,0.9819,0.9912,nan,nan,nan,nan,0.0,0.0,0.0,0.0,131.10799407958984,12.158348410068198,121.22421264648438,144.6846160888672,0.767198580678304,0.004869826712213858,0.7619261828422547,0.7715278767585755
tuap,1.0,0.001,3,0,0.0,6,0.9889,0.0024331050121193117,0.9873,0.9917000000000001,nan,nan,nan,nan,0.9889,0.0024331050121193117,0.9873,0.9917000000000001,nan,nan,nan,nan,0.0,0.0,0.0,0.0,83.81775919596355,29.89152782754779,52.190528869628906,111.60184478759766,0.7984007667859395,0.026191119961044597,0.7802871444702149,0.8284313062667846
tuap,1.0,0.001,3,0,0.0,7,0.9803666666666666,0.002003330560175567,0.9783,0.9823,nan,nan,nan,nan,0.9803666666666666,0.002003330560175567,0.9783,0.9823,nan,nan,nan,nan,0.0,0.0,0.0,0.0,143.6903533935547,10.333697837046675,131.85166931152344,150.9017791748047,0.7660565072059632,0.01082360442060091,0.754652855014801,0.776187548828125
tuap,1.0,0.001,3,0,0.0,8,0.9888333333333333,0.003677408507812709,0.9848,0.992,nan,nan,nan,nan,0.9888333333333333,0.003677408507812709,0.9848,0.992,nan,nan,nan,nan,0.0,0.0,0.0,0.0,167.23470560709634,24.104376235254684,150.11175537109375,194.79945373535156,0.7359496230125427,0.02910215994951398,0.7025869274139405,0.7561143054962157
tuap,1.0,0.001,3,0,0.0,9,0.9866333333333334,0.001721433511156715,0.9853999999999999,0.9886,nan,nan,nan,nan,0.9866333333333334,0.001721433511156715,0.9853999999999999,0.9886,nan,nan,nan,nan,0.0,0.0,0.0,0.0,135.27655792236328,14.033794269215566,119.40300750732422,146.03648376464844,0.7711977087656657,0.012218729324526372,0.7578487396240234,0.7818283421516418
