trial_key,method,feature,target_class,beta,mask_weight,seed,original_weight,flipped_weight,calibration_clean_accuracy,calibration_flipped_accuracy,calibration_bad,original_bits,flipped_bits,bit_hamming_distance,clean_model_accuracy,backdoor_clean_accuracy,bad,trigger_only_asr,bit_only_asr,trigger_plus_bit_asr,bit_marginal_gain,mask_l1,ssim,loss_version,clean_margin,attack_margin,validation_trigger_only_asr,validation_combined_asr,validation_bit_only_asr,validation_bad,validation_clean_target_margin,validation_flipped_target_margin,validation_counterfactual_gain,qualifies,validation_qualifies
causal_target_6_feature_120_beta_2_lambda_0.001_seed_20260904,causal,120,6,2.0,0.001,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0061,0.1089,0.9324,0.9263,525.2804565429688,0.38091466026306153,causal-margin-v2,0.5,0.5,0.01171875,0.8984375,0.1328125,0.0,-2.1852974891662598,1.0503416061401367,3.2356388568878174,True,False
causal_target_6_feature_120_beta_2_lambda_0.002_seed_20260904,causal,120,6,2.0,0.002,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0219,0.1089,0.8544,0.8325,433.3945617675781,0.46349389424324033,causal-margin-v2,0.5,0.5,0.02734375,0.8125,0.1328125,0.0,-2.119391441345215,0.8317002058029175,2.951091766357422,False,False
causal_target_6_feature_120_beta_2_lambda_0.005_seed_20260904,causal,120,6,2.0,0.005,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0718,0.1089,0.7229,0.6511,283.9717102050781,0.5911384634017944,causal-margin-v2,0.5,0.5,0.0625,0.703125,0.1328125,0.0,-1.8808600902557373,0.6199766397476196,2.5008368492126465,False,False
causal_target_6_feature_120_beta_4_lambda_0.001_seed_20260904,causal,120,6,4.0,0.001,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0012,0.1089,0.8351,0.8339,554.0396118164062,0.3497445649623871,causal-margin-v2,0.5,0.5,0.0,0.80078125,0.1328125,0.0,-2.7464871406555176,0.6650525331497192,3.4115397930145264,False,False
causal_target_6_feature_120_beta_4_lambda_0.002_seed_20260904,causal,120,6,4.0,0.002,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0058,0.1089,0.7467,0.7409,475.30877685546875,0.41709460916519164,causal-margin-v2,0.5,0.5,0.0078125,0.73046875,0.1328125,0.0,-2.696500778198242,0.5033916234970093,3.199892520904541,False,False
causal_target_6_feature_120_beta_4_lambda_0.005_seed_20260904,causal,120,6,4.0,0.005,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0259,0.1089,0.5781,0.5521999999999999,311.0256652832031,0.5661360226631165,causal-margin-v2,0.5,0.5,0.01953125,0.546875,0.1328125,0.0,-2.5301690101623535,0.13526108860969543,2.6654303073883057,False,False
causal_target_6_feature_120_beta_8_lambda_0.001_seed_20260904,causal,120,6,8.0,0.001,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0005,0.1089,0.4754,0.4749,559.8479614257812,0.35360617394447325,causal-margin-v2,0.5,0.5,0.0,0.44140625,0.1328125,0.0,-3.0934629440307617,-0.12650185823440552,2.966961145401001,False,False
causal_target_6_feature_120_beta_8_lambda_0.002_seed_20260904,causal,120,6,8.0,0.002,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0018,0.1089,0.4217,0.4199,509.8586120605469,0.3974493933200836,causal-margin-v2,0.5,0.5,0.0,0.39453125,0.1328125,0.0,-3.0458827018737793,-0.21358005702495575,2.8323028087615967,False,False
causal_target_6_feature_120_beta_8_lambda_0.005_seed_20260904,causal,120,6,8.0,0.005,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0073,0.1089,0.3113,0.30400000000000005,383.317138671875,0.5129537351608277,causal-margin-v2,0.5,0.5,0.00390625,0.30078125,0.1328125,0.0,-2.994422674179077,-0.509642481803894,2.4847803115844727,False,False
causal_target_6_feature_120_beta_16_lambda_0.001_seed_20260904,causal,120,6,16.0,0.001,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0002,0.1089,0.0792,0.079,544.3637084960938,0.37493529372215273,causal-margin-v2,0.5,0.5,0.0,0.0625,0.1328125,0.0,-3.6014862060546875,-1.0562901496887207,2.5451958179473877,False,False
