trial_key,method,feature,target_class,beta,mask_weight,seed,original_weight,flipped_weight,calibration_clean_accuracy,calibration_flipped_accuracy,calibration_bad,original_bits,flipped_bits,bit_hamming_distance,clean_model_accuracy,backdoor_clean_accuracy,bad,trigger_only_asr,bit_only_asr,trigger_plus_bit_asr,bit_marginal_gain,mask_l1,ssim,loss_version,clean_margin,attack_margin,validation_trigger_only_asr,validation_combined_asr,validation_bit_only_asr,validation_bad,validation_clean_target_margin,validation_flipped_target_margin,validation_counterfactual_gain,qualifies,validation_qualifies
causal_target_6_feature_120_beta_2_lambda_0.001_seed_20260904,causal,120,6,2.0,0.001,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0,0.1089,0.8854,0.8854,572.254638671875,0.31651414709091186,causal-margin-v2,2.0,0.5,0.0,0.875,0.1328125,0.0,-3.30291748046875,0.6534873843193054,3.956404685974121,False,False
causal_target_6_feature_120_beta_2_lambda_0.002_seed_20260904,causal,120,6,2.0,0.002,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0001,0.1089,0.7684,0.7683,478.68365478515625,0.3964744441986084,causal-margin-v2,2.0,0.5,0.0,0.7265625,0.1328125,0.0,-3.227142333984375,0.4623355269432068,3.6894779205322266,False,False
causal_target_6_feature_120_beta_2_lambda_0.005_seed_20260904,causal,120,6,2.0,0.005,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0076,0.1089,0.5461,0.5385,302.0782165527344,0.5559924990653992,causal-margin-v2,2.0,0.5,0.0,0.5078125,0.1328125,0.0,-3.102993965148926,0.0038129985332489014,3.106806993484497,False,False
causal_target_6_feature_120_beta_4_lambda_0.001_seed_20260904,causal,120,6,4.0,0.001,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0,0.1089,0.4464,0.4464,579.3516235351562,0.3252183926105499,causal-margin-v2,2.0,0.5,0.0,0.40625,0.1328125,0.0,-3.765784740447998,-0.1867714822292328,3.5790133476257324,False,False
causal_target_6_feature_120_beta_4_lambda_0.002_seed_20260904,causal,120,6,4.0,0.002,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0002,0.1089,0.3677,0.36750000000000005,521.4913940429688,0.37315939888954164,causal-margin-v2,2.0,0.5,0.0,0.3359375,0.1328125,0.0,-3.7654852867126465,-0.3457055389881134,3.4197797775268555,False,False
causal_target_6_feature_120_beta_4_lambda_0.005_seed_20260904,causal,120,6,4.0,0.005,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0016,0.1089,0.2776,0.276,378.5111083984375,0.49613815450668336,causal-margin-v2,2.0,0.5,0.0,0.26953125,0.1328125,0.0,-3.7226691246032715,-0.6544077396392822,3.0682613849639893,False,False
causal_target_6_feature_120_beta_8_lambda_0.001_seed_20260904,causal,120,6,8.0,0.001,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0012,0.1089,0.0058,0.0046,507.1276550292969,0.4373790565490723,causal-margin-v2,2.0,0.5,0.0,0.01171875,0.1328125,0.0,-4.552606105804443,-3.2144644260406494,1.3381415605545044,False,False
causal_target_6_feature_120_beta_8_lambda_0.002_seed_20260904,causal,120,6,8.0,0.002,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0,0.1089,0.0336,0.0336,530.0691528320312,0.37162276396751404,causal-margin-v2,2.0,0.5,0.0,0.015625,0.1328125,0.0,-4.267014503479004,-1.2917826175689697,2.975231885910034,False,False
causal_target_6_feature_120_beta_8_lambda_0.005_seed_20260904,causal,120,6,8.0,0.005,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0002,0.1089,0.0448,0.0446,430.16424560546875,0.45809035439491275,causal-margin-v2,2.0,0.5,0.0,0.04296875,0.1328125,0.0,-4.22646427154541,-1.446692943572998,2.779771089553833,False,False
causal_target_6_feature_120_beta_16_lambda_0.001_seed_20260904,causal,120,6,16.0,0.001,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0,0.1089,0.0017,0.0017,537.1213989257812,0.3863193338871002,causal-margin-v2,2.0,0.5,0.0,0.0078125,0.1328125,0.0,-4.999983787536621,-2.7317638397216797,2.2682199478149414,False,False
