method,beta,mask_weight,trials,qualified,qualification_rate,target_class,trigger_only_asr_mean,trigger_only_asr_std,trigger_only_asr_ci95_low,trigger_only_asr_ci95_high,bit_only_asr_mean,bit_only_asr_std,bit_only_asr_ci95_low,bit_only_asr_ci95_high,trigger_plus_bit_asr_mean,trigger_plus_bit_asr_std,trigger_plus_bit_asr_ci95_low,trigger_plus_bit_asr_ci95_high,bit_marginal_gain_mean,bit_marginal_gain_std,bit_marginal_gain_ci95_low,bit_marginal_gain_ci95_high,bad_mean,bad_std,bad_ci95_low,bad_ci95_high,mask_l1_mean,mask_l1_std,mask_l1_ci95_low,mask_l1_ci95_high,ssim_mean,ssim_std,ssim_ci95_low,ssim_ci95_high
causal,2.0,0.001,12,0,0.0,6,0.0010416666666666667,0.002104306551005832,0.00025833333333333334,0.0023,0.10935,0.0017069377152187971,0.10838333333333333,0.11019166666666669,0.49638333333333334,0.349723687900588,0.2992333333333334,0.66165,0.4953416666666667,0.350932268674412,0.297225,0.6613,0.0003083333333332901,0.0005517877281796912,-8.333333333378675e-06,0.0005999999999999617,600.281992594401,43.93603794685339,574.8415476481119,622.6876322428385,0.2983504377683004,0.060667328150051825,0.26887625909646357,0.3343551716566086
causal,2.0,0.002,12,0,0.0,6,0.00295,0.0037279046027591327,0.0013333333333333333,0.005175,0.10935,0.0017069377152187971,0.10838333333333333,0.11019166666666669,0.40805833333333336,0.2669168323257038,0.25653333333333334,0.5389249999999999,0.40510833333333335,0.2699435882426796,0.2515083333333334,0.5370666666666667,0.0003083333333332901,0.0005517877281796912,-8.333333333378675e-06,0.0005999999999999617,499.72830454508465,45.03396876285845,474.24904378255206,520.9703420003256,0.3815090121984482,0.06189061710514486,0.3515561314980189,0.41654432220458987
causal,2.0,0.005,12,0,0.0,6,0.017733333333333334,0.011969607978188556,0.011541666666666665,0.025149999999999995,0.10935,0.0017069377152187971,0.10838333333333333,0.11019166666666669,0.31906666666666667,0.17363861810372053,0.22144166666666668,0.4032166666666666,0.30133333333333334,0.18285146149182666,0.198025,0.3887333333333333,0.0003083333333332901,0.0005517877281796912,-8.333333333378675e-06,0.0005999999999999617,325.9142951965332,52.127380857900086,297.243350982666,351.2990544637044,0.5318670339385668,0.0738146595791465,0.4970544040759404,0.5737068445324899
causal,4.0,0.001,12,0,0.0,6,0.00025833333333333334,0.0002968266507678524,0.00010833333333333333,0.00043333333333333337,0.10935,0.0017069377152187971,0.10838333333333333,0.11019166666666669,0.13573333333333334,0.16068134096195902,0.05673333333333334,0.22342499999999998,0.135475,0.16076613237302756,0.056375,0.22308333333333333,0.0003083333333332901,0.0005517877281796912,-8.333333333378675e-06,0.0005999999999999617,581.3546651204427,46.2078226364909,555.8656056722006,603.0665384928385,0.3359832381169001,0.06757222472122236,0.3036396754542986,0.3736711597124736
causal,4.0,0.002,12,0,0.0,6,0.0005916666666666667,0.0005468227788919839,0.00030833333333333337,0.0009083333333333334,0.10935,0.0017069377152187971,0.10838333333333333,0.11019166666666669,0.1218,0.13249377343860352,0.05562500000000001,0.1942666666666667,0.12120833333333333,0.1325989678989953,0.054941666666666666,0.19369166666666668,0.0003083333333332901,0.0005517877281796912,-8.333333333378675e-06,0.0005999999999999617,525.8652750651041,34.26820566348315,507.0788981119792,542.6296081542969,0.3860007169564565,0.05811260483794611,0.3575743262767792,0.4179638548970222
causal,4.0,0.005,12,0,0.0,6,0.004666666666666667,0.002421244358263792,0.003441666666666666,0.0060416666666666665,0.10935,0.0017069377152187971,0.10838333333333333,0.11019166666666669,0.10889166666666666,0.09037022295518418,0.06159166666666666,0.156475,0.104225,0.09113841745588759,0.05730833333333334,0.15235,0.0003083333333332901,0.0005517877281796912,-8.333333333378675e-06,0.0005999999999999617,371.1690724690755,40.041324234212176,349.57177988688153,390.95240783691406,0.522602201628685,0.05651536961698793,0.49476551671028135,0.5540407864133517
causal,8.0,0.001,12,0,0.0,6,0.000325,0.00042238500317730375,0.0001333333333333333,0.0005916666666666666,0.10935,0.0017069377152187971,0.10838333333333333,0.11019166666666669,0.010341666666666667,0.02225756085359569,0.0022833333333333334,0.024374999999999997,0.010016666666666667,0.022274642465586216,0.0020083333333333333,0.023858333333333332,0.0003083333333332901,0.0005517877281796912,-8.333333333378675e-06,0.0005999999999999617,528.6611557006836,31.249519409266732,511.94930267333984,545.2012608846029,0.4140278643568357,0.046912768157745297,0.38993902380863826,0.43895689041614533
causal,8.0,0.002,12,0,0.0,6,0.0003333333333333333,0.00037739136506316945,0.00015000000000000001,0.00055,0.10935,0.0017069377152187971,0.10838333333333333,0.11019166666666669,0.012924999999999999,0.01895934046608929,0.004691666666666667,0.023891666666666662,0.012591666666666666,0.018905336347821013,0.004391666666666667,0.023399999999999994,0.0003083333333332901,0.0005517877281796912,-8.333333333378675e-06,0.0005999999999999617,510.0835215250651,17.793051228565886,500.4591776529948,519.0059204101562,0.4213522021214167,0.0394448985277413,0.4011688974181811,0.44237316181659697
causal,8.0,0.005,12,0,0.0,6,0.0012,0.0011939240115914184,0.000625,0.0018916666666666665,0.10935,0.0017069377152187971,0.10838333333333333,0.11019166666666669,0.016966666666666665,0.020874357184804227,0.007033333333333333,0.029274999999999995,0.015766666666666665,0.020661397177667663,0.006091666666666668,0.02785,0.0003083333333332901,0.0005517877281796912,-8.333333333378675e-06,0.0005999999999999617,426.81209055582684,35.39217673889502,408.50526428222656,445.93246205647785,0.5010137417316437,0.025037081735477685,0.4875211873650551,0.5146000037312508
causal,16.0,0.001,12,0,0.0,6,0.00015833333333333335,0.00014433756729740645,9.16666666666667e-05,0.00024166666666666664,0.10935,0.0017069377152187971,0.10838333333333333,0.11019166666666669,0.0011,0.0022061896399160085,0.0002249999999999999,0.0024749999999999993,0.0009416666666666666,0.002176092550393661,0.0001,0.0022416666666666665,0.0003083333333332901,0.0005517877281796912,-8.333333333378675e-06,0.0005999999999999617,507.27197011311847,18.865162247514043,497.64509836832684,518.0892130533854,0.4506572213411331,0.03175262570325129,0.43179029006958003,0.4665435013969739
