trial_key,method,feature,target_class,beta,mask_weight,seed,original_weight,flipped_weight,calibration_clean_accuracy,calibration_flipped_accuracy,calibration_bad,original_bits,flipped_bits,bit_hamming_distance,clean_model_accuracy,backdoor_clean_accuracy,bad,trigger_only_asr,bit_only_asr,trigger_plus_bit_asr,bit_marginal_gain,mask_l1,ssim,loss_version,clean_margin,attack_margin,validation_trigger_only_asr,validation_combined_asr,validation_bit_only_asr,validation_bad,validation_clean_target_margin,validation_flipped_target_margin,validation_counterfactual_gain,qualifies,validation_qualifies
causal_target_6_feature_120_beta_2_lambda_0.001_seed_20260904,causal,120,6,2.0,0.001,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0003,0.1089,0.9956,0.9953000000000001,480.3426208496094,0.33263046464920043,causal-margin-v2,0.5,0.5,0.0,0.984375,0.1328125,0.0,-2.790292263031006,1.840888261795044,4.631180763244629,True,True
causal_target_6_feature_120_beta_2_lambda_0.001_seed_20260905,causal,120,6,2.0,0.001,20260905,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0015,0.1089,0.9861,0.9846,533.1199340820312,0.3290761186122894,causal-margin-v2,0.5,0.5,0.0,1.0,0.1328125,0.0,-2.3611855506896973,1.4232958555221558,3.7844812870025635,True,True
causal_target_6_feature_120_beta_2_lambda_0.001_seed_20260906,causal,120,6,2.0,0.001,20260906,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0013,0.1089,0.9886,0.9873000000000001,558.5491333007812,0.3101865083694458,causal-margin-v2,0.5,0.5,0.00390625,1.0,0.1328125,0.0,-2.3970134258270264,1.498760461807251,3.8957736492156982,True,True
causal_target_6_feature_33_beta_2_lambda_0.001_seed_20260904,causal,33,6,2.0,0.001,20260904,0.12096419185400009,1.9354270696640015,0.8463541865348816,0.8463541865348816,0.0,00111101111101111011110000010011,00111111111101111011110000010011,1,0.8642,0.8631,0.0010999999999999899,0.0007,0.1119,0.9741,0.9733999999999999,546.3492431640625,0.2643080916404724,causal-margin-v2,0.5,0.5,0.00390625,0.97265625,0.14453125,-0.00390625,-2.1086275577545166,1.1852085590362549,3.2938361167907715,False,True
causal_target_6_feature_33_beta_2_lambda_0.001_seed_20260905,causal,33,6,2.0,0.001,20260905,0.12096419185400009,1.9354270696640015,0.8463541865348816,0.8463541865348816,0.0,00111101111101111011110000010011,00111111111101111011110000010011,1,0.8642,0.8631,0.0010999999999999899,0.0032,0.1119,0.9413,0.9381,532.2702026367188,0.3088508520126343,causal-margin-v2,0.5,0.5,0.00390625,0.9609375,0.14453125,-0.00390625,-2.007455348968506,1.000770926475525,3.0082263946533203,False,True
causal_target_6_feature_33_beta_2_lambda_0.001_seed_20260906,causal,33,6,2.0,0.001,20260906,0.12096419185400009,1.9354270696640015,0.8463541865348816,0.8463541865348816,0.0,00111101111101111011110000010011,00111111111101111011110000010011,1,0.8642,0.8631,0.0010999999999999899,0.0019,0.1119,0.9613,0.9594,525.5372924804688,0.32055298767089846,causal-margin-v2,0.5,0.5,0.00390625,0.94921875,0.14453125,-0.00390625,-2.018922805786133,0.9979302287101746,3.016852855682373,False,True
causal_target_6_feature_40_beta_2_lambda_0.001_seed_20260904,causal,40,6,2.0,0.001,20260904,0.00754559226334095,1.9316716194152832,0.8463541865348816,0.8463541865348816,0.0,00111011111101110100000100000100,00111111111101110100000100000100,1,0.8642,0.8641,9.999999999998899e-05,0.0142,0.1092,0.6859,0.6717,455.1571960449219,0.3295207623004913,causal-margin-v2,0.5,0.5,0.0390625,0.64453125,0.140625,-0.00390625,-1.4752354621887207,0.2653476595878601,1.7405831813812256,False,False
causal_target_6_feature_40_beta_2_lambda_0.001_seed_20260905,causal,40,6,2.0,0.001,20260905,0.00754559226334095,1.9316716194152832,0.8463541865348816,0.8463541865348816,0.0,00111011111101110100000100000100,00111111111101110100000100000100,1,0.8642,0.8641,9.999999999998899e-05,0.0221,0.1092,0.4091,0.387,454.4673156738281,0.42659082217216493,causal-margin-v2,0.5,0.5,0.05078125,0.3984375,0.140625,-0.00390625,-1.3101345300674438,-0.12218423187732697,1.1879503726959229,False,False
causal_target_6_feature_40_beta_2_lambda_0.001_seed_20260906,causal,40,6,2.0,0.001,20260906,0.00754559226334095,1.9316716194152832,0.8463541865348816,0.8463541865348816,0.0,00111011111101110100000100000100,00111111111101110100000100000100,1,0.8642,0.8641,9.999999999998899e-05,0.0297,0.1092,0.4064,0.3767,456.1808776855469,0.4067286689758301,causal-margin-v2,0.5,0.5,0.04296875,0.41796875,0.140625,-0.00390625,-1.267108678817749,-0.1354140192270279,1.1316947937011719,False,False
causal_target_6_feature_482_beta_2_lambda_0.001_seed_20260904,causal,482,6,2.0,0.001,20260904,0.11922784149646759,1.9076454639434814,0.8463541865348816,0.8463541865348816,0.0,00111101111101000010110110111010,00111111111101000010110110111010,1,0.8642,0.8635,0.0006999999999999229,0.0082,0.1101,0.8934,0.8852,502.40631103515625,0.3143425587654114,causal-margin-v2,0.5,0.5,0.00390625,0.91015625,0.14453125,-0.00390625,-1.7775113582611084,0.9480140209197998,2.725525379180908,False,True
causal_target_6_feature_482_beta_2_lambda_0.001_seed_20260905,causal,482,6,2.0,0.001,20260905,0.11922784149646759,1.9076454639434814,0.8463541865348816,0.8463541865348816,0.0,00111101111101000010110110111010,00111111111101000010110110111010,1,0.8642,0.8635,0.0006999999999999229,0.0021,0.1101,0.9772,0.9751,582.4683837890625,0.27084144740104676,causal-margin-v2,0.5,0.5,0.00390625,0.98828125,0.14453125,-0.00390625,-2.3385837078094482,1.5353795289993286,3.8739631175994873,True,True
causal_target_6_feature_482_beta_2_lambda_0.001_seed_20260906,causal,482,6,2.0,0.001,20260906,0.11922784149646759,1.9076454639434814,0.8463541865348816,0.8463541865348816,0.0,00111101111101000010110110111010,00111111111101000010110110111010,1,0.8642,0.8635,0.0006999999999999229,0.0025,0.1101,0.9726,0.9701000000000001,548.79150390625,0.3007796610355377,causal-margin-v2,0.5,0.5,0.0,0.98046875,0.14453125,-0.00390625,-2.11680006980896,1.2389501333236694,3.35575008392334,True,True
causal_target_6_feature_28_beta_2_lambda_0.001_seed_20260904,causal,28,6,2.0,0.001,20260904,0.007444762624800205,1.9058592319488525,0.8463541865348816,0.8463541865348816,0.0,00111011111100111111001100110010,00111111111100111111001100110010,1,0.8642,0.8646,-0.00040000000000006697,0.0419,0.1069,0.6113,0.5693999999999999,435.24908447265625,0.38990316381454465,causal-margin-v2,0.5,0.5,0.0703125,0.625,0.1328125,0.0,-1.4352271556854248,0.24030829966068268,1.6755354404449463,False,False
causal_target_6_feature_28_beta_2_lambda_0.001_seed_20260905,causal,28,6,2.0,0.001,20260905,0.007444762624800205,1.9058592319488525,0.8463541865348816,0.8463541865348816,0.0,00111011111100111111001100110010,00111111111100111111001100110010,1,0.8642,0.8646,-0.00040000000000006697,0.0211,0.1069,0.5442,0.5231,473.5631408691406,0.4142119908332825,causal-margin-v2,0.5,0.5,0.03515625,0.55859375,0.1328125,0.0,-1.383669137954712,0.05173398181796074,1.4354031085968018,False,False
causal_target_6_feature_28_beta_2_lambda_0.001_seed_20260906,causal,28,6,2.0,0.001,20260906,0.007444762624800205,1.9058592319488525,0.8463541865348816,0.8463541865348816,0.0,00111011111100111111001100110010,00111111111100111111001100110010,1,0.8642,0.8646,-0.00040000000000006697,0.0446,0.1069,0.5818,0.5372,480.3412170410156,0.41123556065559386,causal-margin-v2,0.5,0.5,0.0546875,0.5859375,0.1328125,0.0,-1.4324703216552734,0.07609289139509201,1.5085632801055908,False,False
causal_target_6_feature_381_beta_2_lambda_0.001_seed_20260904,causal,381,6,2.0,0.001,20260904,2.8909371394547634e-05,1.8946045637130737,0.8463541865348816,0.8463541865348816,0.0,00110111111100101000001001100111,00111111111100101000001001100111,1,0.8642,0.8645,-0.000300000000000078,0.0306,0.1066,0.3783,0.3477,446.0885009765625,0.3956759955406189,causal-margin-v2,0.5,0.5,0.04296875,0.44140625,0.1328125,0.0,-1.2374989986419678,-0.1628238558769226,1.0746750831604004,False,False
