trial_key,method,feature,target_class,beta,mask_weight,seed,original_weight,flipped_weight,calibration_clean_accuracy,calibration_flipped_accuracy,calibration_bad,original_bits,flipped_bits,bit_hamming_distance,clean_model_accuracy,backdoor_clean_accuracy,bad,trigger_only_asr,bit_only_asr,trigger_plus_bit_asr,bit_marginal_gain,mask_l1,ssim,qualifies
causal_target_6_feature_1_beta_0.5_lambda_0.001_seed_20260904,causal,1,6,0.5,0.001,20260904,0.06775947660207748,1.0841516256332397,0.86328125,0.8623046875,0.0009765625,00111101100010101100010101111011,00111111100010101100010101111011,1,0.8642,0.8641,9.999999999998899e-05,0.625,0.1089,0.6778,0.05279999999999996,467.5069885253906,0.6381057386398316,False
causal_target_6_feature_1_beta_0.5_lambda_0.002_seed_20260904,causal,1,6,0.5,0.002,20260904,0.06775947660207748,1.0841516256332397,0.86328125,0.8623046875,0.0009765625,00111101100010101100010101111011,00111111100010101100010101111011,1,0.8642,0.8641,9.999999999998899e-05,0.6175,0.1089,0.6687,0.05119999999999991,363.37689208984375,0.6990437923431396,False
causal_target_6_feature_1_beta_1_lambda_0.001_seed_20260904,causal,1,6,1.0,0.001,20260904,0.06775947660207748,1.0841516256332397,0.86328125,0.8623046875,0.0009765625,00111101100010101100010101111011,00111111100010101100010101111011,1,0.8642,0.8641,9.999999999998899e-05,0.467,0.1089,0.5755,0.10849999999999999,557.3488159179688,0.5763335189819336,False
causal_target_6_feature_1_beta_1_lambda_0.002_seed_20260904,causal,1,6,1.0,0.002,20260904,0.06775947660207748,1.0841516256332397,0.86328125,0.8623046875,0.0009765625,00111101100010101100010101111011,00111111100010101100010101111011,1,0.8642,0.8641,9.999999999998899e-05,0.4834,0.1089,0.5582,0.07480000000000003,449.7373046875,0.6526516303062438,False
causal_target_6_feature_1_beta_2_lambda_0.001_seed_20260904,causal,1,6,2.0,0.001,20260904,0.06775947660207748,1.0841516256332397,0.86328125,0.8623046875,0.0009765625,00111101100010101100010101111011,00111111100010101100010101111011,1,0.8642,0.8641,9.999999999998899e-05,0.4373,0.1089,0.5306,0.09329999999999994,560.8248291015625,0.5804514905929565,False
causal_target_6_feature_1_beta_2_lambda_0.002_seed_20260904,causal,1,6,2.0,0.002,20260904,0.06775947660207748,1.0841516256332397,0.86328125,0.8623046875,0.0009765625,00111101100010101100010101111011,00111111100010101100010101111011,1,0.8642,0.8641,9.999999999998899e-05,0.4034,0.1089,0.4878,0.08440000000000003,491.35302734375,0.6332546576499939,False
causal_target_6_feature_5_beta_0.5_lambda_0.001_seed_20260904,causal,5,6,0.5,0.001,20260904,0.06388364732265472,1.0221383571624756,0.86328125,0.86328125,0.0,00111101100000101101010101101110,00111111100000101101010101101110,1,0.8642,0.8645,-0.000300000000000078,0.5537,0.1076,0.6805,0.12680000000000002,471.57684326171875,0.6303404185295105,False
causal_target_6_feature_5_beta_0.5_lambda_0.002_seed_20260904,causal,5,6,0.5,0.002,20260904,0.06388364732265472,1.0221383571624756,0.86328125,0.86328125,0.0,00111101100000101101010101101110,00111111100000101101010101101110,1,0.8642,0.8645,-0.000300000000000078,0.5758,0.1076,0.6727,0.09689999999999999,371.37237548828125,0.6926864321708679,False
causal_target_6_feature_5_beta_1_lambda_0.001_seed_20260904,causal,5,6,1.0,0.001,20260904,0.06388364732265472,1.0221383571624756,0.86328125,0.86328125,0.0,00111101100000101101010101101110,00111111100000101101010101101110,1,0.8642,0.8645,-0.000300000000000078,0.4449,0.1076,0.6045,0.15960000000000002,551.631591796875,0.5778227806091308,False
causal_target_6_feature_5_beta_1_lambda_0.002_seed_20260904,causal,5,6,1.0,0.002,20260904,0.06388364732265472,1.0221383571624756,0.86328125,0.86328125,0.0,00111101100000101101010101101110,00111111100000101101010101101110,1,0.8642,0.8645,-0.000300000000000078,0.4508,0.1076,0.5682,0.11740000000000006,449.7662658691406,0.646921539402008,False
causal_target_6_feature_5_beta_2_lambda_0.001_seed_20260904,causal,5,6,2.0,0.001,20260904,0.06388364732265472,1.0221383571624756,0.86328125,0.86328125,0.0,00111101100000101101010101101110,00111111100000101101010101101110,1,0.8642,0.8645,-0.000300000000000078,0.3984,0.1076,0.53,0.13160000000000005,556.4052734375,0.5809796877861023,False
causal_target_6_feature_5_beta_2_lambda_0.002_seed_20260904,causal,5,6,2.0,0.002,20260904,0.06388364732265472,1.0221383571624756,0.86328125,0.86328125,0.0,00111101100000101101010101101110,00111111100000101101010101101110,1,0.8642,0.8645,-0.000300000000000078,0.3828,0.1076,0.5055,0.12269999999999998,493.7560729980469,0.6251733298301697,False
causal_target_6_feature_6_beta_0.5_lambda_0.001_seed_20260904,causal,6,6,0.5,0.001,20260904,0.0044213770888745785,1.131872534751892,0.86328125,0.86328125,0.0,00111011100100001110000100110011,00111111100100001110000100110011,1,0.8642,0.8645,-0.000300000000000078,0.645,0.1073,0.604,-0.041000000000000036,449.6087341308594,0.6513674268722535,False
causal_target_6_feature_6_beta_0.5_lambda_0.002_seed_20260904,causal,6,6,0.5,0.002,20260904,0.0044213770888745785,1.131872534751892,0.86328125,0.86328125,0.0,00111011100100001110000100110011,00111111100100001110000100110011,1,0.8642,0.8645,-0.000300000000000078,0.6523,0.1073,0.6226,-0.02969999999999995,354.5581359863281,0.7082263277053833,False
causal_target_6_feature_6_beta_1_lambda_0.001_seed_20260904,causal,6,6,1.0,0.001,20260904,0.0044213770888745785,1.131872534751892,0.86328125,0.86328125,0.0,00111011100100001110000100110011,00111111100100001110000100110011,1,0.8642,0.8645,-0.000300000000000078,0.5324,0.1073,0.4981,-0.0343,551.0360107421875,0.5808337597846985,False
causal_target_6_feature_6_beta_1_lambda_0.002_seed_20260904,causal,6,6,1.0,0.002,20260904,0.0044213770888745785,1.131872534751892,0.86328125,0.86328125,0.0,00111011100100001110000100110011,00111111100100001110000100110011,1,0.8642,0.8645,-0.000300000000000078,0.506,0.1073,0.4854,-0.020600000000000007,447.5897521972656,0.6533158242225647,False
causal_target_6_feature_6_beta_2_lambda_0.001_seed_20260904,causal,6,6,2.0,0.001,20260904,0.0044213770888745785,1.131872534751892,0.86328125,0.86328125,0.0,00111011100100001110000100110011,00111111100100001110000100110011,1,0.8642,0.8645,-0.000300000000000078,0.4103,0.1073,0.4117,0.0014000000000000123,555.5709228515625,0.5857651246070862,False
causal_target_6_feature_6_beta_2_lambda_0.002_seed_20260904,causal,6,6,2.0,0.002,20260904,0.0044213770888745785,1.131872534751892,0.86328125,0.86328125,0.0,00111011100100001110000100110011,00111111100100001110000100110011,1,0.8642,0.8645,-0.000300000000000078,0.4092,0.1073,0.4022,-0.007000000000000006,491.2279357910156,0.6296611763954163,False
causal_target_6_feature_19_beta_0.5_lambda_0.001_seed_20260904,causal,19,6,0.5,0.001,20260904,0.07388781011104584,1.1822049617767334,0.86328125,0.8623046875,0.0009765625,00111101100101110101001001111110,00111111100101110101001001111110,1,0.8642,0.8643,-9.999999999998899e-05,0.5866,0.1087,0.6667,0.08009999999999995,466.4373474121094,0.6354507210731506,False
causal_target_6_feature_19_beta_0.5_lambda_0.002_seed_20260904,causal,19,6,0.5,0.002,20260904,0.07388781011104584,1.1822049617767334,0.86328125,0.8623046875,0.0009765625,00111101100101110101001001111110,00111111100101110101001001111110,1,0.8642,0.8643,-9.999999999998899e-05,0.6057,0.1087,0.676,0.07030000000000003,370.38714599609375,0.6954476134300231,False
causal_target_6_feature_19_beta_1_lambda_0.001_seed_20260904,causal,19,6,1.0,0.001,20260904,0.07388781011104584,1.1822049617767334,0.86328125,0.8623046875,0.0009765625,00111101100101110101001001111110,00111111100101110101001001111110,1,0.8642,0.8643,-9.999999999998899e-05,0.4579,0.1087,0.5835,0.12560000000000004,545.7452392578125,0.5834641330718994,False
causal_target_6_feature_19_beta_1_lambda_0.002_seed_20260904,causal,19,6,1.0,0.002,20260904,0.07388781011104584,1.1822049617767334,0.86328125,0.8623046875,0.0009765625,00111101100101110101001001111110,00111111100101110101001001111110,1,0.8642,0.8643,-9.999999999998899e-05,0.4849,0.1087,0.5725,0.08760000000000001,456.3711853027344,0.6433752834320068,False
causal_target_6_feature_19_beta_2_lambda_0.001_seed_20260904,causal,19,6,2.0,0.001,20260904,0.07388781011104584,1.1822049617767334,0.86328125,0.8623046875,0.0009765625,00111101100101110101001001111110,00111111100101110101001001111110,1,0.8642,0.8643,-9.999999999998899e-05,0.4512,0.1087,0.5608,0.10959999999999998,563.4362182617188,0.5769263515472413,False
causal_target_6_feature_19_beta_2_lambda_0.002_seed_20260904,causal,19,6,2.0,0.002,20260904,0.07388781011104584,1.1822049617767334,0.86328125,0.8623046875,0.0009765625,00111101100101110101001001111110,00111111100101110101001001111110,1,0.8642,0.8643,-9.999999999998899e-05,0.4477,0.1087,0.526,0.07830000000000004,491.30731201171875,0.6320648439407348,False
causal_target_6_feature_23_beta_0.5_lambda_0.001_seed_20260904,causal,23,6,0.5,0.001,20260904,0.083307184278965,1.33291494846344,0.86328125,0.8623046875,0.0009765625,00111101101010101001110011110101,00111111101010101001110011110101,1,0.8642,0.8636,0.0005999999999999339,0.5841,0.1091,0.7303,0.1462,474.5297546386719,0.6287801181793213,False
causal_target_6_feature_23_beta_0.5_lambda_0.002_seed_20260904,causal,23,6,0.5,0.002,20260904,0.083307184278965,1.33291494846344,0.86328125,0.8623046875,0.0009765625,00111101101010101001110011110101,00111111101010101001110011110101,1,0.8642,0.8636,0.0005999999999999339,0.5728,0.1091,0.7003,0.12750000000000006,381.8620910644531,0.68880728931427,False
causal_target_6_feature_23_beta_1_lambda_0.001_seed_20260904,causal,23,6,1.0,0.001,20260904,0.083307184278965,1.33291494846344,0.86328125,0.8623046875,0.0009765625,00111101101010101001110011110101,00111111101010101001110011110101,1,0.8642,0.8636,0.0005999999999999339,0.4492,0.1091,0.6467,0.19750000000000006,547.6436157226562,0.5814547866821289,False
causal_target_6_feature_23_beta_1_lambda_0.002_seed_20260904,causal,23,6,1.0,0.002,20260904,0.083307184278965,1.33291494846344,0.86328125,0.8623046875,0.0009765625,00111101101010101001110011110101,00111111101010101001110011110101,1,0.8642,0.8636,0.0005999999999999339,0.456,0.1091,0.6135,0.15750000000000003,461.4011535644531,0.6404514007568359,False
causal_target_6_feature_23_beta_2_lambda_0.001_seed_20260904,causal,23,6,2.0,0.001,20260904,0.083307184278965,1.33291494846344,0.86328125,0.8623046875,0.0009765625,00111101101010101001110011110101,00111111101010101001110011110101,1,0.8642,0.8636,0.0005999999999999339,0.4004,0.1091,0.603,0.2026,560.0906372070312,0.5791320609092713,False
causal_target_6_feature_23_beta_2_lambda_0.002_seed_20260904,causal,23,6,2.0,0.002,20260904,0.083307184278965,1.33291494846344,0.86328125,0.8623046875,0.0009765625,00111101101010101001110011110101,00111111101010101001110011110101,1,0.8642,0.8636,0.0005999999999999339,0.3706,0.1091,0.5593,0.18870000000000003,495.4082946777344,0.6288764217376709,False
causal_target_6_feature_28_beta_0.5_lambda_0.001_seed_20260904,causal,28,6,0.5,0.001,20260904,0.007444762624800205,1.9058592319488525,0.86328125,0.8642578125,-0.0009765625,00111011111100111111001100110010,00111111111100111111001100110010,1,0.8642,0.8646,-0.00040000000000006697,0.5703,0.1069,0.6939,0.12359999999999993,474.22882080078125,0.6306709451675415,False
causal_target_6_feature_28_beta_0.5_lambda_0.002_seed_20260904,causal,28,6,0.5,0.002,20260904,0.007444762624800205,1.9058592319488525,0.86328125,0.8642578125,-0.0009765625,00111011111100111111001100110010,00111111111100111111001100110010,1,0.8642,0.8646,-0.00040000000000006697,0.622,0.1069,0.6921,0.07010000000000005,356.92926025390625,0.7049129917144775,False
causal_target_6_feature_28_beta_1_lambda_0.001_seed_20260904,causal,28,6,1.0,0.001,20260904,0.007444762624800205,1.9058592319488525,0.86328125,0.8642578125,-0.0009765625,00111011111100111111001100110010,00111111111100111111001100110010,1,0.8642,0.8646,-0.00040000000000006697,0.4931,0.1069,0.5853,0.09220000000000006,544.6923217773438,0.5842027911186218,False
causal_target_6_feature_28_beta_1_lambda_0.002_seed_20260904,causal,28,6,1.0,0.002,20260904,0.007444762624800205,1.9058592319488525,0.86328125,0.8642578125,-0.0009765625,00111011111100111111001100110010,00111111111100111111001100110010,1,0.8642,0.8646,-0.00040000000000006697,0.4603,0.1069,0.5478,0.08749999999999997,451.1737060546875,0.6483935782432556,False
causal_target_6_feature_28_beta_2_lambda_0.001_seed_20260904,causal,28,6,2.0,0.001,20260904,0.007444762624800205,1.9058592319488525,0.86328125,0.8642578125,-0.0009765625,00111011111100111111001100110010,00111111111100111111001100110010,1,0.8642,0.8646,-0.00040000000000006697,0.4476,0.1069,0.5236,0.07599999999999996,570.607421875,0.5732870972633362,False
causal_target_6_feature_28_beta_2_lambda_0.002_seed_20260904,causal,28,6,2.0,0.002,20260904,0.007444762624800205,1.9058592319488525,0.86328125,0.8642578125,-0.0009765625,00111011111100111111001100110010,00111111111100111111001100110010,1,0.8642,0.8646,-0.00040000000000006697,0.4035,0.1069,0.4755,0.07199999999999995,495.2198791503906,0.625261618423462,False
causal_target_6_feature_40_beta_0.5_lambda_0.001_seed_20260904,causal,40,6,0.5,0.001,20260904,0.00754559226334095,1.9316716194152832,0.86328125,0.8623046875,0.0009765625,00111011111101110100000100000100,00111111111101110100000100000100,1,0.8642,0.8641,9.999999999998899e-05,0.5402,0.1092,0.7273,0.18709999999999993,488.8460693359375,0.6215850955009461,False
causal_target_6_feature_40_beta_0.5_lambda_0.002_seed_20260904,causal,40,6,0.5,0.002,20260904,0.00754559226334095,1.9316716194152832,0.86328125,0.8623046875,0.0009765625,00111011111101110100000100000100,00111111111101110100000100000100,1,0.8642,0.8641,9.999999999998899e-05,0.5648,0.1092,0.7111,0.14629999999999999,379.2999267578125,0.6878253632545471,False
