feature,target_class,original_weight,flipped_weight,original_bits,flipped_bits,calibration_clean_accuracy,calibration_bad,bit_hamming_distance,clean_model_accuracy,trigger_only_target_rate,backdoor_clean_accuracy,bad,attack_success_rate,mask_l1
1,6,0.06775947660207748,1.0841516256332397,00111101100010101100010101111011,00111111100010101100010101111011,0.8623046875,0.0009765625,1,0.8642,0.443,0.8641,9.999999999998899e-05,0.558,343.56524658203125
5,6,0.06388364732265472,1.0221383571624756,00111101100000101101010101101110,00111111100000101101010101101110,0.86328125,0.0,1,0.8642,0.5341,0.8645,-0.000300000000000078,0.6842,385.0827941894531
6,6,0.0044213770888745785,1.131872534751892,00111011100100001110000100110011,00111111100100001110000100110011,0.86328125,0.0,1,0.8642,0.0013,0.8645,-0.000300000000000078,0.002,334.80743408203125
19,6,0.07388781011104584,1.1822049617767334,00111101100101110101001001111110,00111111100101110101001001111110,0.8623046875,0.0009765625,1,0.8642,0.9916,0.8643,-9.999999999998899e-05,0.9928,275.9097595214844
23,6,0.083307184278965,1.33291494846344,00111101101010101001110011110101,00111111101010101001110011110101,0.8623046875,0.0009765625,1,0.8642,0.7554,0.8636,0.0005999999999999339,0.8686,370.4871826171875
28,6,0.007444762624800205,1.9058592319488525,00111011111100111111001100110010,00111111111100111111001100110010,0.8642578125,-0.0009765625,1,0.8642,0.0093,0.8646,-0.00040000000000006697,0.0153,229.25726318359375
40,6,0.00754559226334095,1.9316716194152832,00111011111101110100000100000100,00111111111101110100000100000100,0.8623046875,0.0009765625,1,0.8642,0.0064,0.8641,9.999999999998899e-05,0.0073,186.75021362304688
43,6,0.06789074093103409,1.0862518548965454,00111101100010110000101001001101,00111111100010110000101001001101,0.8623046875,0.0009765625,1,0.8642,0.7333,0.8639,0.00029999999999996696,0.7888,223.70724487304688
51,6,0.0062203602865338326,1.5924122333526611,00111011110010111101010000101010,00111111110010111101010000101010,0.86328125,0.0,1,0.8642,0.0001,0.8647,-0.000500000000000056,0.0002,363.1205139160156
54,6,0.06772962212562561,1.0836739540100098,00111101100010101011010111010100,00111111100010101011010111010100,0.86328125,0.0,1,0.8642,0.8251,0.864,0.00019999999999997797,0.8775,271.3464660644531
56,6,0.07851739227771759,1.2562782764434814,00111101101000001100110110111010,00111111101000001100110110111010,0.8623046875,0.0009765625,1,0.8642,0.0301,0.8641,9.999999999998899e-05,0.0864,504.7462158203125
58,6,0.10671299695968628,1.7074079513549805,00111101110110101000110001011000,00111111110110101000110001011000,0.8623046875,0.0009765625,1,0.8642,0.9993,0.864,0.00019999999999997797,1.0,517.7625732421875
61,6,0.06582839041948318,1.053254246711731,00111101100001101101000100001001,00111111100001101101000100001001,0.8642578125,-0.0009765625,1,0.8642,0.0002,0.8641,9.999999999998899e-05,0.0006,655.3194580078125
72,6,0.09079897403717041,1.4527835845947266,00111101101110011111010011010000,00111111101110011111010011010000,0.8623046875,0.0009765625,1,0.8642,0.9522,0.864,0.00019999999999997797,0.9709,313.07745361328125
88,6,0.06600701063871384,1.0561121702194214,00111101100001110010111010101111,00111111100001110010111010101111,0.86328125,0.0,1,0.8642,0.7006,0.8642,0.0,0.7707,282.15423583984375
93,6,0.11067208647727966,1.7707533836364746,00111101111000101010100000001100,00111111111000101010100000001100,0.86328125,0.0,1,0.8642,0.9969,0.8636,0.0005999999999999339,0.9991,481.0743103027344
116,6,0.06921577453613281,1.107452392578125,00111101100011011100000100000000,00111111100011011100000100000000,0.8623046875,0.0009765625,1,0.8642,0.8496,0.8642,0.0,0.9065,279.1863708496094
120,6,0.12271922081708908,1.9635075330734253,00111101111110110101010000110111,00111111111110110101010000110111,0.8623046875,0.0009765625,1,0.8642,0.9997,0.864,0.00019999999999997797,1.0,604.7548217773438
127,6,0.09446649998426437,1.51146399974823,00111101110000010111011110100111,00111111110000010111011110100111,0.8623046875,0.0009765625,1,0.8642,0.9999,0.8638,0.00039999999999995595,0.9999,465.9400329589844
128,6,0.06320621073246002,1.0112993717193604,00111101100000010111001001000010,00111111100000010111001001000010,0.8642578125,-0.0009765625,1,0.8642,0.274,0.8645,-0.000300000000000078,0.4301,428.73785400390625
144,6,0.08487627655267715,1.3580204248428345,00111101101011011101001110011101,00111111101011011101001110011101,0.8623046875,0.0009765625,1,0.8642,0.73,0.8642,0.0,0.8862,423.8101501464844
160,6,0.0756191611289978,1.2099065780639648,00111101100110101101111000111000,00111111100110101101111000111000,0.8623046875,0.0009765625,1,0.8642,0.947,0.8638,0.00039999999999995595,0.964,272.92132568359375
178,6,0.006035399157553911,1.5450621843338013,00111011110001011100010010011001,00111111110001011100010010011001,0.8623046875,0.0009765625,1,0.8642,0.0052,0.864,0.00019999999999997797,0.0061,220.99392700195312
180,6,0.08022591471672058,1.2836146354675293,00111101101001000100110101111100,00111111101001000100110101111100,0.865234375,-0.001953125,1,0.8642,0.09,0.8644,-0.00019999999999997797,0.191,424.6279602050781
205,6,0.0848739966750145,1.357983946800232,00111101101011011101001001101011,00111111101011011101001001101011,0.8623046875,0.0009765625,1,0.8642,0.8098,0.8638,0.00039999999999995595,0.9384,435.8628234863281
237,6,0.0719323456287384,1.1509175300598145,00111101100100110101000101000100,00111111100100110101000101000100,0.86328125,0.0,1,0.8642,0.7941,0.8641,9.999999999998899e-05,0.8656,307.02276611328125
243,6,0.0807487741112709,1.2919803857803345,00111101101001010101111110011101,00111111101001010101111110011101,0.8623046875,0.0009765625,1,0.8642,0.9972,0.8637,0.0004999999999999449,0.9987,344.8138427734375
245,6,0.09905551373958588,1.584888219833374,00111101110010101101110110011110,00111111110010101101110110011110,0.8623046875,0.0009765625,1,0.8642,0.9653,0.864,0.00019999999999997797,0.9801,356.88983154296875
248,6,0.07445180416107178,1.1912288665771484,00111101100110000111101000110000,00111111100110000111101000110000,0.8642578125,-0.0009765625,1,0.8642,0.7477,0.8643,-9.999999999998899e-05,0.8634,363.9756164550781
276,6,0.11379261314868927,1.8206818103790283,00111101111010010000110000011010,00111111111010010000110000011010,0.8623046875,0.0009765625,1,0.8642,0.9913,0.8637,0.0004999999999999449,0.9982,420.05377197265625
288,6,0.07301946729421616,1.1683114767074585,00111101100101011000101100111011,00111111100101011000101100111011,0.86328125,0.0,1,0.8642,0.001,0.8643,-9.999999999998899e-05,0.0022,532.0737915039062
297,6,0.08099663257598877,1.2959461212158203,00111101101001011110000110010000,00111111101001011110000110010000,0.86328125,0.0,1,0.8642,0.9952,0.8643,-9.999999999998899e-05,0.9961,274.5152282714844
301,6,0.004369643982499838,1.1186288595199585,00111011100011110010111100111011,00111111100011110010111100111011,0.8623046875,0.0009765625,1,0.8642,0.0,0.8643,-9.999999999998899e-05,0.0,665.7620849609375
304,6,0.06982707232236862,1.117233157157898,00111101100011110000000101111111,00111111100011110000000101111111,0.8623046875,0.0009765625,1,0.8642,0.9343,0.8641,9.999999999998899e-05,0.9558,361.90423583984375
310,6,0.07536853849887848,1.2058966159820557,00111101100110100101101011010010,00111111100110100101101011010010,0.86328125,0.0,1,0.8642,0.3797,0.8647,-0.000500000000000056,0.5526,398.0264587402344
311,6,0.06328291445970535,1.0125266313552856,00111101100000011001101001111001,00111111100000011001101001111001,0.86328125,0.0,1,0.8642,0.1079,0.8644,-0.00019999999999997797,0.1815,372.8755187988281
314,6,0.09301868826150894,1.488299012184143,00111101101111101000000010010101,00111111101111101000000010010101,0.8623046875,0.0009765625,1,0.8642,0.0242,0.8629,0.0012999999999999678,0.172,592.794189453125
335,6,0.11567524075508118,1.8508038520812988,00111101111011001110011100100100,00111111111011001110011100100100,0.86328125,0.0,1,0.8642,0.9889,0.864,0.00019999999999997797,0.9951,389.6764831542969
342,6,0.006813381798565388,1.7442257404327393,00111011110111110100001011001010,00111111110111110100001011001010,0.8642578125,-0.0009765625,1,0.8642,0.0125,0.8646,-0.00040000000000006697,0.0181,222.30328369140625
349,6,0.06354855000972748,1.0167768001556396,00111101100000100010010110111110,00111111100000100010010110111110,0.86328125,0.0,1,0.8642,0.0002,0.8644,-0.00019999999999997797,0.0005,524.0878295898438
351,6,0.09478523582220078,1.5165637731552124,00111101110000100001111011000011,00111111110000100001111011000011,0.86328125,0.0,1,0.8642,0.9934,0.8641,9.999999999998899e-05,0.9986,474.45941162109375
358,6,0.06538375467061996,1.0461400747299194,00111101100001011110011111101011,00111111100001011110011111101011,0.86328125,0.0,1,0.8642,0.0055,0.8641,9.999999999998899e-05,0.0151,484.0089111328125
360,6,0.09405730664730072,1.5049169063568115,00111101110000001010000100011110,00111111110000001010000100011110,0.8642578125,-0.0009765625,1,0.8642,0.9993,0.8643,-9.999999999998899e-05,0.9997,322.338623046875
368,6,0.005628741811960936,1.4409579038619995,00111011101110000111000101001111,00111111101110000111000101001111,0.8623046875,0.0009765625,1,0.8642,0.0082,0.864,0.00019999999999997797,0.0109,238.5201416015625
381,6,2.8909371394547634e-05,1.8946045637130737,00110111111100101000001001100111,00111111111100101000001001100111,0.8642578125,-0.0009765625,1,0.8642,0.0185,0.8645,-0.000300000000000078,0.0206,164.3607177734375
384,6,0.07001947611570358,1.1203116178512573,00111101100011110110011001011111,00111111100011110110011001011111,0.86328125,0.0,1,0.8642,0.8251,0.8639,0.00029999999999996696,0.9109,381.2517395019531
390,6,0.11541470140218735,1.8466352224349976,00111101111011000101111010001011,00111111111011000101111010001011,0.86328125,0.0,1,0.8642,0.9771,0.8635,0.0006999999999999229,0.9952,466.36444091796875
402,6,0.004794258624315262,1.227330207824707,00111011100111010001100100101000,00111111100111010001100100101000,0.86328125,0.0,1,0.8642,0.0,0.8643,-9.999999999998899e-05,0.0,529.0234375
419,6,0.08317378908395767,1.3307806253433228,00111101101010100101011100000101,00111111101010100101011100000101,0.8623046875,0.0009765625,1,0.8642,0.9393,0.8639,0.00029999999999996696,0.9668,363.09881591796875
424,6,0.09094826877117157,1.4551723003387451,00111101101110100100001100010110,00111111101110100100001100010110,0.8623046875,0.0009765625,1,0.8642,0.9962,0.8636,0.0005999999999999339,0.9967,279.4059143066406
452,6,0.06535787135362625,1.04572594165802,00111101100001011101101001011001,00111111100001011101101001011001,0.86328125,0.0,1,0.8642,0.6074,0.8644,-0.00019999999999997797,0.7581,515.5576171875
469,6,0.0814608559012413,1.3033736944198608,00111101101001101101010011110011,00111111101001101101010011110011,0.8623046875,0.0009765625,1,0.8642,0.9979,0.8641,9.999999999998899e-05,0.9985,276.39520263671875
474,6,0.06517800688743591,1.0428481101989746,00111101100001010111110000001100,00111111100001010111110000001100,0.86328125,0.0,1,0.8642,0.0031,0.8645,-0.000300000000000078,0.0071,473.20635986328125
488,6,0.006487973965704441,1.660921335220337,00111011110101001001100100010010,00111111110101001001100100010010,0.8642578125,-0.0009765625,1,0.8642,0.0002,0.8642,0.0,0.0002,414.61248779296875
492,6,0.00497092679142952,1.272557258605957,00111011101000101110001100101000,00111111101000101110001100101000,0.8623046875,0.0009765625,1,0.8642,0.0017,0.8644,-0.00019999999999997797,0.0019,299.3515625
503,6,0.0062474957667291164,1.5993589162826538,00111011110011001011011111001011,00111111110011001011011111001011,0.86328125,0.0,1,0.8642,0.0001,0.8644,-0.00019999999999997797,0.0002,424.52398681640625
506,6,0.06585999578237534,1.0537599325180054,00111101100001101110000110011011,00111111100001101110000110011011,0.8642578125,-0.0009765625,1,0.8642,0.9171,0.8643,-9.999999999998899e-05,0.9406,381.59075927734375
507,6,0.004797331523150206,1.2281168699264526,00111011100111010011001011101111,00111111100111010011001011101111,0.8642578125,-0.0009765625,1,0.8642,0.0,0.8646,-0.00040000000000006697,0.0002,378.21405029296875
508,6,0.10690490156412125,1.71047842502594,00111101110110101111000011110101,00111111110110101111000011110101,0.8623046875,0.0009765625,1,0.8642,0.8093,0.8642,0.0,0.9573,462.37664794921875
